model,accuracy,precision,recall,f1
rf,0.7847942754919499,0.794323134968629,0.9017211703958692,0.8442167906841289
gb,0.7832438878950507,0.798602520045819,0.8898164084911073,0.8414324822157212
logit,0.7491592128801431,0.7790074906367042,0.8538726333907057,0.8145244904782778
