iter	Passed	Remaining
406	4708	4755
407	4717	4740
408	4726	4726
409	4734	4711
410	4743	4697
411	4751	4682
412	4760	4667
413	4768	4653
414	4777	4639
415	4785	4624
416	4794	4610
417	4796	4589
418	4810	4580
419	4821	4568
420	4832	4557
421	4841	4543
422	4850	4529
423	4859	4515
424	4868	4502
425	4878	4489
426	4890	4477
427	4900	4465
428	4910	4452
429	4919	4438
430	4928	4425
431	4937	4412
432	4946	4398
433	4955	4384
434	4963	4370
435	4972	4356
436	4981	4343
437	4989	4329
438	4998	4315
439	5006	4301
440	5027	4297
441	5035	4283
442	5044	4270
443	5053	4256
444	5062	4243
445	5070	4229
446	5079	4215
447	5087	4201
448	5097	4188
449	5105	4175
450	5107	4156
451	5116	4142
452	5124	4129
453	5133	4115
454	5141	4102
455	5150	4088
456	5158	4074
457	5167	4061
458	5175	4048
459	5184	4034
460	5193	4021
461	5202	4008
462	5210	3995
463	5219	3982
464	5228	3969
465	5236	3955
466	5248	3944
467	5258	3932
468	5267	3919
469	5275	3906
470	5284	3893
471	5293	3880
472	5302	3867
473	5311	3854
474	5321	3842
475	5329	3829
476	5338	3816
477	5347	3803
478	5356	3790
479	5365	3777
480	5373	3765
481	5382	3752
482	5391	3739
483	5399	3726
484	5408	3713
485	5417	3700
486	5426	3687
487	5434	3675
488	5443	3662
489	5452	3649
490	5461	3637
491	5470	3624
492	5479	3612
493	5488	3599
494	5508	3594
495	5517	3582
496	5526	3569
497	5535	3557
498	5544	3544
499	5553	3531
500	5561	3519
501	5570	3506
502	5578	3493
503	5587	3481
504	5595	3468
505	5604	3455
506	5612	3443
507	5621	3430
508	5629	3417
509	5638	3405
510	5646	3392
511	5656	3380
512	5664	3367
513	5673	3355
514	5683	3343
515	5693	3332
516	5703	3320
517	5712	3308
518	5721	3296
519	5730	3283
520	5738	3271
521	5747	3259
522	5756	3247
523	5766	3235
524	5775	3223
525	5784	3211
526	5794	3199
527	5807	3189
528	5815	3177
529	5824	3164
530	5833	3153
531	5842	3141
532	5851	3128
533	5862	3117
534	5873	3106
535	5883	3095
536	5892	3083
537	5902	3072
538	5912	3060
539	5921	3048
540	5930	3036
541	5938	3024
542	5947	3012
543	5956	3000
544	5966	2988
545	5975	2976
546	5984	2964
547	5993	2952
548	6002	2941
549	6012	2929
550	6020	2917
551	6031	2906
552	6041	2895
553	6051	2883
554	6061	2872
555	6071	2860
556	6081	2849
557	6090	2837
558	6109	2830
559	6119	2819
560	6128	2807
561	6137	2795
562	6146	2783
563	6155	2772
564	6164	2760
565	6172	2748
566	6182	2736
567	6191	2725
568	6201	2713
569	6210	2702
570	6220	2690
571	6229	2679
572	6240	2668
573	6251	2657
574	6260	2645
575	6269	2634
576	6278	2622
577	6287	2610
578	6296	2599
579	6305	2587
580	6314	2575
581	6323	2563
582	6332	2552
583	6342	2541
584	6352	2530
585	6361	2518
586	6370	2506
587	6379	2495
588	6389	2484
589	6402	2474
590	6417	2465
591	6430	2455
592	6440	2443
593	6450	2432
594	6460	2421
595	6470	2410
596	6478	2398
597	6488	2387
598	6497	2375
599	6506	2364
600	6515	2352
601	6523	2340
602	6533	2329
603	6541	2317
604	6551	2306
605	6561	2295
606	6573	2285
607	6582	2273
608	6593	2262
609	6609	2253
610	6619	2242
611	6633	2232
612	6644	2222
613	6655	2211
614	6668	2201
615	6678	2190
616	6692	2180
617	6704	2169
618	6714	2158
619	6723	2147
620	6732	2135
621	6740	2124
622	6749	2112
623	6758	2101
624	6766	2089
625	6775	2078
626	6786	2067
627	6797	2056
628	6808	2045
629	6817	2034
630	6826	2023
631	6837	2012
632	6847	2001
633	6857	1990
634	6867	1979
635	6878	1968
636	6891	1958
637	6904	1947
638	6919	1938
639	6945	1931
640	6965	1923
641	6980	1913
642	6993	1903
643	7009	1893
644	7021	1883
645	7032	1872
646	7043	1861
647	7053	1850
648	7061	1838
649	7070	1827
650	7080	1816
651	7088	1804
652	7109	1796
653	7118	1785
654	7128	1773
655	7136	1762
656	7144	1750
657	7153	1739
658	7161	1727
659	7170	1716
660	7178	1705
661	7187	1693
662	7195	1682
663	7204	1670
664	7213	1659
665	7222	1648
666	7230	1636
667	7238	1625
668	7248	1614
669	7258	1603
670	7267	1592
671	7277	1581
672	7285	1569
673	7295	1558
674	7305	1547
675	7314	1536
676	7323	1525
677	7333	1514
678	7341	1502
679	7350	1491
680	7369	1482
681	7394	1474
682	7410	1464
683	7452	1460
684	7495	1455
685	7511	1445
686	7543	1438
687	7567	1429
688	7578	1418
689	7588	1407
690	7603	1397
691	7620	1387
692	7624	1375
693	7638	1364
