iter	Logloss
0	0.6877304787
1	0.683309629
2	0.6786267184
3	0.6733249398
4	0.6689224835
5	0.663528679
6	0.6594736853
7	0.6549501641
8	0.6501787762
9	0.6461711558
10	0.6433267519
11	0.6406901751
12	0.6361225335
13	0.6333854734
14	0.6296277896
15	0.6256930329
16	0.6218582863
17	0.6186170948
18	0.6164152752
19	0.6116078695
20	0.6087930369
21	0.6060354543
22	0.6027009358
23	0.6010238293
24	0.5971262141
25	0.5940986456
26	0.5918806209
27	0.5888763546
28	0.5854972425
29	0.5827560425
30	0.5800007665
31	0.5770577128
32	0.5736376149
33	0.5702707453
34	0.5674084212
35	0.5648965762
36	0.5624768161
37	0.5609245005
38	0.5589177331
39	0.5556089416
40	0.5525241822
41	0.5505005593
42	0.5487135658
43	0.5465430918
44	0.5442640911
45	0.5420075054
46	0.5392376212
47	0.5366118675
48	0.5346022022
49	0.5321973461
50	0.5311509953
51	0.530012323
52	0.5284258229
53	0.5263851668
54	0.5242995624
55	0.5227484888
56	0.5209815447
57	0.5188050972
58	0.5179859723
59	0.5156412051
60	0.5143954255
61	0.5118441323
62	0.5105251342
63	0.5083068138
64	0.5078515341
65	0.5061560342
66	0.5045862715
67	0.5019837609
68	0.4998775748
69	0.4981852687
70	0.4961504086
71	0.4952834078
72	0.494421227
73	0.4920532463
74	0.4903139809
75	0.4886806104
76	0.4868947406
77	0.4853375457
78	0.4829078497
79	0.4814314731
80	0.4796176881
81	0.4784969359
82	0.4763805774
83	0.4743327355
84	0.4730008443
85	0.4719733009
86	0.4692251812
87	0.468038278
88	0.4672587195
89	0.4655574828
90	0.4649002312
91	0.464499067
92	0.4629662092
93	0.4613579447
94	0.459517575
95	0.4576952439
96	0.4563843779
97	0.4548998397
98	0.4536721577
99	0.4526290894
100	0.4512982036
101	0.4499233157
102	0.4481838729
103	0.4472928897
104	0.4463787227
105	0.4449870679
106	0.4436207557
107	0.442675864
108	0.4415755161
109	0.4404368438
110	0.4396383005
111	0.4389761991
112	0.4384006826
113	0.4379990452
114	0.436981763
115	0.4358490937
116	0.435038988
117	0.4338366782
118	0.4335527642
119	0.4325170887
120	0.4321721395
121	0.4314262922
122	0.4306847624
123	0.429720265
124	0.428192671
125	0.4270774191
126	0.4258396237
127	0.4244053567
128	0.4239101262
129	0.4228939086
130	0.4220058234
131	0.4207868946
132	0.4197840136
133	0.4183355228
134	0.4177125739
135	0.4168463123
136	0.4163677009
137	0.4153498568
138	0.4146577111
139	0.4133536169
140	0.4119985122
141	0.4105784098
142	0.4093354395
143	0.4086091389
144	0.407221151
145	0.4060880676
146	0.4059296246
147	0.4054061239
148	0.4044384032
149	0.4029965659
150	0.4020805655
151	0.4013319681
152	0.400657299
153	0.3999966466
154	0.3994404992
155	0.3990373833
156	0.3982692098
157	0.397017782
158	0.3960639007
159	0.3949402802
160	0.3935915333
161	0.392987924
162	0.3919463638
163	0.3910896242
164	0.3904437871
165	0.3893892747
166	0.3884571874
167	0.3875692205
168	0.386599282
169	0.3854816644
170	0.3845126721
171	0.3836228127
172	0.3827112479
173	0.3818804127
174	0.3810542498
175	0.380131862
176	0.3794096718
177	0.3786158599
178	0.3774859998
179	0.3772338749
180	0.3765152037
181	0.3755921652
182	0.3742478836
183	0.3730089646
184	0.3722837285
185	0.3711823752
186	0.3705371591
187	0.3696141206
188	0.3689459276
189	0.367949227
190	0.367304898
191	0.366455019
192	0.366140824
193	0.3652694466
194	0.3646642404
195	0.3644951517
196	0.3634540647
197	0.3626464134
198	0.3613389777
199	0.3604508333
200	0.3602720749
201	0.359051697
202	0.3585095369
203	0.3577556167
204	0.3565723804
205	0.3557473708
206	0.3552490057
207	0.354512296
208	0.3536991445
209	0.3531331203
210	0.3522543501
211	0.3515648066
212	0.3511577872
213	0.3502186324
214	0.3495589559
215	0.3491126955
216	0.3487687222
217	0.3484748426
218	0.3475234157
219	0.3468878694
220	0.3462491294
221	0.3456661905
222	0.3446814663
223	0.3443880303
224	0.343204587
225	0.3425926682
226	0.3419302415
227	0.3414858441
228	0.3404610212
229	0.339851616
230	0.3389345509
231	0.3385120954
232	0.338083903
233	0.3376908413
234	0.3372518259
235	0.3369179659
236	0.3364749879
237	0.3357829604
238	0.3347589064
239	0.3343914535
240	0.3338522209
241	0.3336209733
242	0.3330977684
243	0.3325315372
244	0.3314214307
245	0.3306171506
246	0.3301578492
247	0.3296546049
248	0.3289285704
249	0.3279905689
250	0.3274262303
251	0.3263441278
252	0.3258437519
253	0.3252253865
254	0.3247477214
255	0.3243128459
256	0.3237270976
257	0.3228090567
258	0.3223010514
259	0.3218608531
260	0.3213399547
261	0.320756927
262	0.3203659649
263	0.319574223
264	0.3193363515
265	0.3187148811
266	0.3178843121
267	0.317525494
268	0.3168199229
269	0.31636624
270	0.31563645
271	0.3149907903
272	0.3140986243
273	0.3140684024
274	0.3133420722
275	0.3130206322
276	0.3125615083
277	0.312467649
278	0.3117668684
279	0.3110128595
280	0.3101754299
281	0.3097259758
282	0.3088807099
283	0.3084544101
284	0.3077267196
285	0.3072085713
286	0.3065747402
287	0.3061476123
288	0.3058678679
289	0.3053887537
290	0.3053303504
291	0.3052493251
292	0.3045862775
293	0.3041239894
294	0.303731874
295	0.3028168789
296	0.3021544227
297	0.3015494827
298	0.3010806002
299	0.3006316784
300	0.3005549409
301	0.3000542397
302	0.2995348494
303	0.2989589484
304	0.2983480941
305	0.2978843866
306	0.2973866426
307	0.29668048
308	0.2963138846
309	0.2959929474
310	0.2953858486
311	0.2952432559
312	0.2945395181
313	0.2937850656
314	0.2935856664
315	0.2931351477
316	0.2926086899
317	0.2920006449
318	0.2913229299
319	0.2908214599
320	0.2906509813
321	0.2900490872
322	0.2893015248
323	0.2886878612
324	0.288038032
325	0.2876119688
